Review_ID;Sentence_ID;Sentence;Aspect;Sentiment;Aspect_ID;Sentiment_ID
1824;0;Hotel ny nyaman dan bersih;room;pos;0;1
1824;1;service nya baik;service;pos;2;1
1824;2;pelayanan nya memuaskan dan ramah;service;pos;2;1
1824;3;breakfast nya enak banyak variasi nya;service;pos;2;1
1825;4;kamar nya kotor;room;neg;0;0
1825;5;berisik tidak ada kedap suara nya;room;neg;0;0
1825;6;pelayanan nya lambat harus di telf lagi agar datang ke kamar;service;neg;2;0
1825;7;parkir valet nya yang tidak siap selalu harus disamperin di pos security;service;neg;2;0
1826;8;Lokasi strategis dekat dg pusat kota;location;pos;1;1
1826;9;staff sangat ramah dan membantu;service;pos;2;1
1826;10;room bersih walau agak sempit;room;neg;0;0
1826;11;sky longue live music dengan panorama yg mengesankan;facilities;pos;3;1
1826;12;kolam renang cukup luas dan airnya bersih namun handuk pool habis;facilities;neg;3;0
1827;13;Petugas resepsionis sepertinya sudah cuek dengan kami sebagai tamu mungkin mereka berpikir dgn lokasi hotel yg strategis dan kamar selalu dalam keadaan full terus sehingga etika sebagai seorang petugas hotel yg menjual jasa sudah terabaikan;service;neg;2;0
1827;14;Tidak ada lagi standard penyambutan tamu;service;neg;2;0
1828;15;Pelayanan sangat bagus;service;pos;2;1
1828;16;Sarapan enak;service;pos;2;1
1828;17;Tempat strategis;location;pos;1;1
1828;18;kamar hotel beraih;room;pos;0;1
1828;19;Suasana kolam renang pun sangat bagus;facilities;pos;3;1
1829;20;strategis;location;pos;1;1
1829;21;pelayanan excelent;service;pos;2;1
1829;22;menu sarapan lengkap banyak pilihan;service;pos;2;1
1829;23;cm sayang pemandangan kamar ga ada sama skali;room;neg;0;0
1830;24;Keseluruhan pelayanan sudah oke semualah ya;service;pos;2;1
1830;25;sama matras sama bantal kyaknya udah harus ganti ya sudah tidak nyaman;facilities;neg;3;0
1831;26;Stafnya ramah-ramah;service;pos;2;1
1831;27;makanannya enak dan bervariatif sekali;service;pos;2;1
1831;28;Dekat dengan pusat perbelanjaan Malioboro dan stasiun kereta api;location;pos;1;1
1832;29;kamar sangat verry good tetapi untuk shower harus di perhatikan karena tamu saya beberapa room ada yang kerepotan untuk menyalakan shower;facilities;neg;3;0
1832;30;Untuk restonya sangat nyaman dan makanan breakfest verry good;service;pos;2;1
1833;31;smoking roomnya luas;facilities;pos;3;1
1833;32;skylounge nya enak dipakai buat nongkrong;facilities;pos;3;1
1833;33;letak geografisnya sempurna;location;pos;1;1
1833;34;tinggal nyebrang dari stasiun aja;location;pos;1;1
1833;35;Cuman shower air ga berfungsi dan channel iflix+hooq putus putus ga nyaman dipake nonton;facilities;neg;3;0
1833;36;tidak disediakan minuman kemasan botol plastik dalam kamar;facilities;neg;3;0
1833;37;tapi sayangnya dispensernya agak jauh dari kamar;facilities;neg;3;0
1834;38;Nah ini review nya : Hotelnya bersih;facilities;pos;3;1
1834;39;Kalo interiornya sih modern;facilities;pos;3;1
1834;40;Yang paling aku suka dari hotelnya adalah lokasinya (bukan karena Sarkem ya ??) karena dekat dari malioboro tapi gak crowded;location;pos;1;1
1835;41;karna hotel nya nyaman n harga sesuai makanya saya kembali memilih hotel neo lagi untuk tinggal dalam acara jalan2 dengan teman2 saya;service;pos;2;1
1837;42;Tempatnya sangat strategis;location;pos;1;1
1837;43;pelayanan memuaskan;service;pos;2;1
1837;44;breakfast bervariasi;service;pos;2;1
1837;45;kamar bersih;room;pos;0;1
1837;46;staff ramah ramah;service;pos;2;1
1838;47;Pelayanan sangat bagus;service;pos;2;1
1838;48;room cukup;room;pos;0;1
1838;49;area resto dan smoking kurang luas;facilities;neg;3;0
1838;50;tidak ada tempat duduk santai depan luar lobby;facilities;neg;3;0
1839;51;Hotelnya bagus tempatnya strategis di kota Jogja dekat dengan pusat keramaian (Jl;location;pos;1;1
1840;52;Hotel ini lokasinya didekat stasiun Tugu/Yogya;location;pos;1;1
1840;53;halaman parkir sempit;facilities;neg;3;0
1841;54;Kalau ke jogja ni hotel recommended banget karena deket malioboro dan stasiun;location;pos;1;1
1841;55;kamar nya bersih dan nyaman banget;room;pos;0;1
1841;56;tidak perlu khawatir buat ngecas hp dll karena skalar buat colokan ada banyak;facilities;pos;3;1
1841;57;pelayanan juga oke banget;service;pos;2;1
1842;58;pelayanan dari petugas ramah & murah senyum semoga dipertahankan & ditingkatkan;service;pos;2;1
1843;59;lokasi hotel sangat strategis berada di sebrang stasiun tugu yogyakarta;location;pos;1;1
1843;60;pelayanan yang sangat luar biasa;service;pos;2;1
1843;61;kebersihannya juga patut diacungi jempol;service;pos;2;1
1843;62;untuk deluxe room juga ruangan sangat amat besar yang buat tidur semakin berkualitas;room;pos;0;1
1844;63;Pelayanan cepat dan mantap;service;pos;2;1
1844;64;ruangan sgt bersih;room;pos;0;1
1844;65;wangi ruangan sgt menunjang kenyamanan menginap;room;pos;0;1
1844;66;fasilitas kondisi baik;facilities;pos;3;1
1844;67;Tingkat keamanan juga bagus;service;pos;2;1
1845;68;Lokasi sangat strategis;location;pos;1;1
1845;69;Proses checkin & check out cepat;service;pos;2;1
1845;70;Seluruh staff sangat ramah;service;pos;2;1
1845;71;Kamar cukup luas lah untuk hotel bintang 3;room;pos;0;1
1845;72;kebersihan juga ok;service;pos;2;1
1845;73;Kamar mandi cukup luas juga & bersih;room;pos;0;1
1845;74;Breakfast variasi cukup & rasa cukup baik;service;pos;2;1
1846;75;hotelnya sangat bersih;service;pos;2;1
1846;76;pegawainya juga sangat ramah dan sopan;service;pos;2;1
1846;77;kamar nya bersih dan makananya pun enak dan lezat;service;pos;2;1
1846;78;keereeenn pollll  akses ke tempat wisata juga sangat dekat;location;pos;1;1
1847;79;Kamar nyaman;room;pos;0;1
1847;80;kebersihan nya bagus;service;pos;2;1
1847;81;petugas membantu;service;pos;2;1
1847;82;kamar mandi bersih;room;pos;0;1
1847;83;perlengkapan mandi lengkap;facilities;pos;3;1
1847;84;lokasi strategis;location;pos;1;1
1847;85;kolam berenang view nya lumayan;facilities;pos;3;1
1847;86;makanan the best ??;service;pos;2;1
1848;87;lokasi hotel yang strategis dekat kuliner wisata malioboro dan cukup dekat dari bandara;location;pos;1;1
1849;88;mengesankan dan sarapannya super variasi dan enak-enak;service;pos;2;1
1849;89;Pegawai hotel juga ramah-ramah semua dan sangat membantu;service;pos;2;1
1851;90;Secara keseluruhan fasilitas hotel sudah baik/rata-rata;facilities;pos;3;1
1852;91;Hotel strategis di yogyakarta;location;pos;1;1
1852;92;dekat dengan stasiun dan kawasan malioboro;location;pos;1;1
1852;93;Konsep hotel dan layanan kekinian dengan tarif relatif terjangkau;service;pos;2;1
1852;94;Fasilitas kamar yang nyaman dengan penataan moderen;room;pos;0;1
1853;95;Proses Checkin berjalan lancar kondisi Pertama masuk kamar sangat baik Kondisi kamarmandi perlu di perhatikan karena drainase air agar mampet yang menyebabkan air meluber apabika kita mandi dengan kran shower membuka penuh;room;neg;0;0
1853;96;Kondisi tempat makan (sarapan) cukup baik;facilities;pos;3;1
1854;97;dekat dengan malioboro;location;pos;1;1
1854;98;staff yang ramah;service;pos;2;1
1854;99;kamar yang cukup luas dan ada kolam renang untuk anak;facilities;pos;3;1
1855;100;dekat dengan pusat kota jalan malioboro;location;pos;1;1
1855;101;Dekat dengan stasiun kereta api;location;pos;1;1
1855;102;Ada kolam renang dan resto yang enak masakannya;facilities;pos;3;1
1855;103;Kamar cukup bersih;room;pos;0;1
1856;104;Hotelnya strategis;location;pos;1;1
1856;105;deket stasiun kereta sama pusat kuliner dan oleh2 Malioboro;location;pos;1;1
1856;106;mudah reservasinya baik lewat online maupun langsung;service;pos;2;1
1857;107;Berasa stay di bintang 4 pelayanan yang ramah makanan yang cukup enak;service;pos;2;1
1857;108;tempat yang strategis dekat dengan malioboro berjalan kaki kira kira 3menit;location;pos;1;1
1858;109;kolam renang nya lumayan bersih dan kadar kaporit nya cukup rendah;facilities;pos;3;1
1858;110;makanan nya lumayam bervariasi;service;pos;2;1
1858;111;dan lumayan enak rasa masakan nya;service;pos;2;1
1859;112;Lokasi sangat dekat dengan Jl;location;pos;1;1
1859;113;Sarapan juga enak;service;pos;2;1
1859;114;Pelayanan mulai dari Receptionist hingga Room Service Sangat Profesional dan menyenangkan;service;pos;2;1
1859;115;Good Hotel & Good Service;service;pos;2;1
1860;116;kamarnya bersih;room;pos;0;1
1860;117;resepsionisnya ramah ramah;service;pos;2;1
1860;118;parkiranya juga sangat aman;facilities;pos;3;1
1860;119;satpam disana juga sangat sigap;service;pos;2;1
1860;120;pelayanan belboynya jugaaa sangat cepat;service;pos;2;1
1861;121;Tempat tidurnya cukup nyaman;room;pos;0;1
1861;122;ac juga dingin banget;facilities;pos;3;1
1861;123;Terdapat sky lounge pada lantai 9 yang dari sini dapat melihat ke arah sekliling;facilities;pos;3;1
1861;124;Lokasi hotel ini dekat dengan jalan Malioboro dan statiun kereta api Tugu;location;pos;1;1
1862;125;Kamar bersih;room;pos;0;1
1862;126;pelayanan bagus;service;pos;2;1
1862;127;cek in dan cek out cepat;service;pos;2;1
1862;128;semua hampir sempurna kecuali makananya yg biasa aja;service;pos;2;1
1862;129;tambah breakfaat cukup mahal yaitu 120rb untuk menu yg eerti itu;service;neg;2;0
1863;130;Tempatnya bagus;service;pos;2;1
1863;131;makanannya variatif dan enak;service;pos;2;1
1863;132;bersih dan servicenya bagus banget;service;pos;2;1
1864;133;"berkesan sekali pelayanan oke ramah ramah dan paling penting itu deket bgt sm malioboro dan deket sama stasiun tugu jadi apa"" mudah soal makanan enak enak semua";location;pos;1;1
1864;134;kolam renang asik walupun ga smpet brenang;facilities;pos;3;1
1865;135;dekat dkt malioboro;location;pos;1;1
1865;136;trz akses menggunakan mobil juga gampang dan lokasi yg strategi tidak terkena macetx malioboro;location;pos;1;1
1866;137;resepsionis yang ramah;service;pos;2;1
1866;138;kamar yang bersih dan nyaman;room;pos;0;1
1866;139;semua fasilitas tersedia di dalam kamar;facilities;pos;3;1
1866;140;ada kolam renang dan cafe serta restoran yang semua makanannya enak dan lezat;facilities;pos;3;1
1866;141;dan satu lagi ada skylounge yang nyaman;facilities;pos;3;1
1867;142;kamarnya bersih;room;pos;0;1
1867;143;fasilitas bagus;facilities;pos;3;1
1867;144;tapi perlu ada perbaikan untuk shower kamar mandi;facilities;neg;3;0
1867;145;makanannya enak;service;pos;2;1
1867;146;akses menuju stasiun tugu juga mudah;location;pos;1;1
1868;147;Hotel yang nyaman banget cocok untuk traveling dan belanja serta dekat dengan stasiun;location;pos;1;1
1868;148;dejat perbelanjaan;location;pos;1;1
1868;149;tenpat yang asyik karena dekat dengan semua yabg ada di yogyajarta;location;pos;1;1
1869;150;Semua staff ramah pelayanan kamar baik dekat dengan jl Malioboro dekat dengan stasiun tugu hanya saja tolong kualitas breakfast di perbaiki dan selebihnya bagus semua dan cukup  puas dengan pelayanannya;service;pos;2;1
1870;151;kamar hotel sangat bagus;room;pos;0;1
1870;152;siaran tv digital nya banyak;facilities;pos;3;1
1870;153;lokasi yang sangat dekat dengan stasiun Tugu;location;pos;1;1
1870;154;dekat dengan Malioboro;location;pos;1;1
1870;155;Sarapannya cocok di Lidah ada masakan western dan Indonesia nya;service;pos;2;1
1871;156;?????????????? Pelayanan yang bagus;service;pos;2;1
1871;157;ramah;service;pos;2;1
1871;158;bersahabat;service;pos;2;1
1871;159;tempat tidur bagus;room;pos;0;1
1871;160;kamar mandinya bersih;room;pos;0;1
1871;161;mini barnya limayan lengkap;facilities;pos;3;1
1871;162;ruangan kamarnya tidak sempit;room;pos;0;1
1871;163;dan akses sangat stategis;location;pos;1;1
1873;164;Pelayanan excellent semua staff hotel ramah Dan kamar juga dibersihkan setiap Hari;service;pos;2;1
1873;165;Makanannya enak enak Dan banyak Dan lengkap  hotelnya juga bersih kolam renangnya outdoor bagus pemandangannya menghadap stasiun;service;pos;2;1
1874;166;Staf ramah;service;pos;2;1
1874;167;cekatan Lokasi strategis Breakfast enak tapi lauknya tolong divariasi jgn ayam terus krn saya menginap 4;service;pos;2;1
1874;168;mungkin variasi dengan daging atau yg lainnya Kamar nyaman;service;pos;2;1
1874;169;kamar mandi baik apalagi ada kran buat wudhu;room;pos;0;1
1875;170;dan dari dulu sampai sekarang pelayanannya selalu memuaskan;service;pos;2;1
1875;171;Hotel yang letaknya sangat strategis bersebrangan dengan Stasiun Yogyakarta;location;pos;1;1
1877;172;anak2 suka karena ada kolam renang;facilities;pos;3;1
1877;173;Staff yang ramah;service;pos;2;1
1878;174;Fasilitas kamar yang lengkap dan nyaman untuk keluarga menginap serta makanan yang memuaskan;facilities;pos;3;1
1878;175;penginapan yang sangat dekat dengan malioboro dan tempat makanan lain yg dekat dengan hotel;location;pos;1;1
1879;176;Kamar bersih;room;pos;0;1
1879;177;sarapan lumayan bagus;service;pos;2;1
1880;178;Semuanya memenuhi standard hanya handuk harus di ganti sudah tidak putih;facilities;neg;3;0
1880;179;tempat roll tissue sudah mau copot;facilities;neg;3;0
1880;180;Wastafel mampet jika tidak dibuka tengahnya;facilities;neg;3;0
1881;181;Hotelnya dekat dengan malioboro dan stasiun jogja sehingga mudah untuk kemana-mana;location;pos;1;1
1881;182;Kamar nyaman;room;pos;0;1
1881;183;sarapan pagi enak dan banyak variasi;service;pos;2;1
1881;184;Staff nya ramah;service;pos;2;1
1882;185;Check in telat 10-15 menit dr jam check in;service;neg;2;0
1882;186;orange dan guava juice nya tidak ada rasanya;service;neg;2;0
1882;187;Tapi untuk lokasinya sih bagus;location;pos;1;1
1882;188;karena dekat dengan jalan Malioboro dan stasiun kereta;location;pos;1;1
1882;189;untuk kolam renangnya cukup luas;facilities;pos;3;1
1883;190;Hotel ini memiliki letak yang sangat strategis;location;pos;1;1
1883;191;roomnya bersih;room;pos;0;1
1883;192;fasilitas sangat lengkap;facilities;pos;3;1
1883;193;dan pelayanannya sangat baik;service;pos;2;1
1884;194;lokasi strategis dekat dengan stasiun dan sangat nyaman utk meet up dgn client;location;pos;1;1
1884;195;harga yg terjangkau;service;pos;2;1
1884;196;dan pemandangan yg menakjubkan di sky longue Sangat asik untuk nongkrong;facilities;pos;3;1
1884;197;dan fasilitas yg sangat lengkap dgn dukungan fasilitas olahraga;facilities;pos;3;1
1885;198;Berkunjung ke Kota Yogya pasti tidak lepas dari menginap di hotel bintang 3 yang posisinya tidak jauh dari stasiun kereta api dan Malioboro yaitu Hotel Neo by Aston;location;pos;1;1
1885;199;tetap pelayan hotel nya baik n makanan paginya pun masih sama bervariasi;service;pos;2;1
1885;200;ya tidak jauh jalan kaki menuju hotel maupun balik ke Jakarta;location;pos;1;1
1885;201;Intinya hotel Neo cukup stategis di pusat kota Yogya;location;pos;1;1
1885;202;Staff pun ramai n kamar mandi pun bersih serta ruangan…;service;pos;2;1
1886;203;Kamar yang bersih;room;pos;0;1
1886;204;suasana hotel yang nyaman ada kolam renang;facilities;pos;3;1
1886;205;staff nya ramah ramah serta menu sahur dan buka puasanya yg enak enak;service;pos;2;1
1887;206;Kamarnya besar;room;pos;0;1
1887;207;bersih;service;pos;2;1
1887;208;Sarapannya mantull;service;pos;2;1
